,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_down,base_llm_gpt35,0.2,5,0,paper,rock,3,-1
1,self_transition_down,base_llm_gpt35,0.2,5,1,rock,scissors,3,-1
2,self_transition_down,base_llm_gpt35,0.2,5,2,rock,rock,0,0
3,self_transition_down,base_llm_gpt35,0.2,5,3,scissors,scissors,0,0
4,self_transition_down,base_llm_gpt35,0.2,5,4,paper,rock,3,-1
5,self_transition_down,base_llm_gpt35,0.2,5,5,rock,scissors,3,-1
6,self_transition_down,base_llm_gpt35,0.2,5,6,scissors,rock,-1,3
7,self_transition_down,base_llm_gpt35,0.2,5,7,paper,scissors,-1,3
8,self_transition_down,base_llm_gpt35,0.2,5,8,rock,rock,0,0
9,self_transition_down,base_llm_gpt35,0.2,5,9,scissors,paper,3,-1
10,self_transition_down,base_llm_gpt35,0.2,5,10,paper,rock,3,-1
11,self_transition_down,base_llm_gpt35,0.2,5,11,rock,scissors,3,-1
12,self_transition_down,base_llm_gpt35,0.2,5,12,scissors,rock,-1,3
13,self_transition_down,base_llm_gpt35,0.2,5,13,paper,paper,0,0
14,self_transition_down,base_llm_gpt35,0.2,5,14,scissors,scissors,0,0
15,self_transition_down,base_llm_gpt35,0.2,5,15,paper,rock,3,-1
16,self_transition_down,base_llm_gpt35,0.2,5,16,rock,scissors,3,-1
17,self_transition_down,base_llm_gpt35,0.2,5,17,scissors,rock,-1,3
18,self_transition_down,base_llm_gpt35,0.2,5,18,paper,scissors,-1,3
19,self_transition_down,base_llm_gpt35,0.2,5,19,rock,rock,0,0
20,self_transition_down,base_llm_gpt35,0.2,5,20,scissors,scissors,0,0
21,self_transition_down,base_llm_gpt35,0.2,5,21,paper,rock,3,-1
22,self_transition_down,base_llm_gpt35,0.2,5,22,rock,scissors,3,-1
23,self_transition_down,base_llm_gpt35,0.2,5,23,scissors,rock,-1,3
24,self_transition_down,base_llm_gpt35,0.2,5,24,paper,scissors,-1,3
25,self_transition_down,base_llm_gpt35,0.2,5,25,rock,rock,0,0
26,self_transition_down,base_llm_gpt35,0.2,5,26,scissors,scissors,0,0
27,self_transition_down,base_llm_gpt35,0.2,5,27,paper,rock,3,-1
28,self_transition_down,base_llm_gpt35,0.2,5,28,rock,scissors,3,-1
29,self_transition_down,base_llm_gpt35,0.2,5,29,scissors,rock,-1,3
30,self_transition_down,base_llm_gpt35,0.2,5,30,scissors,scissors,0,0
31,self_transition_down,base_llm_gpt35,0.2,5,31,paper,rock,3,-1
32,self_transition_down,base_llm_gpt35,0.2,5,32,rock,scissors,3,-1
33,self_transition_down,base_llm_gpt35,0.2,5,33,scissors,rock,-1,3
34,self_transition_down,base_llm_gpt35,0.2,5,34,paper,scissors,-1,3
35,self_transition_down,base_llm_gpt35,0.2,5,35,paper,rock,3,-1
36,self_transition_down,base_llm_gpt35,0.2,5,36,rock,scissors,3,-1
37,self_transition_down,base_llm_gpt35,0.2,5,37,scissors,rock,-1,3
38,self_transition_down,base_llm_gpt35,0.2,5,38,paper,scissors,-1,3
39,self_transition_down,base_llm_gpt35,0.2,5,39,rock,rock,0,0
40,self_transition_down,base_llm_gpt35,0.2,5,40,scissors,scissors,0,0
41,self_transition_down,base_llm_gpt35,0.2,5,41,paper,rock,3,-1
42,self_transition_down,base_llm_gpt35,0.2,5,42,scissors,scissors,0,0
43,self_transition_down,base_llm_gpt35,0.2,5,43,paper,rock,3,-1
44,self_transition_down,base_llm_gpt35,0.2,5,44,rock,scissors,3,-1
45,self_transition_down,base_llm_gpt35,0.2,5,45,scissors,rock,-1,3
46,self_transition_down,base_llm_gpt35,0.2,5,46,paper,scissors,-1,3
47,self_transition_down,base_llm_gpt35,0.2,5,47,rock,rock,0,0
48,self_transition_down,base_llm_gpt35,0.2,5,48,scissors,scissors,0,0
49,self_transition_down,base_llm_gpt35,0.2,5,49,paper,rock,3,-1
50,self_transition_down,base_llm_gpt35,0.2,5,50,rock,scissors,3,-1
51,self_transition_down,base_llm_gpt35,0.2,5,51,scissors,rock,-1,3
52,self_transition_down,base_llm_gpt35,0.2,5,52,paper,scissors,-1,3
53,self_transition_down,base_llm_gpt35,0.2,5,53,rock,rock,0,0
54,self_transition_down,base_llm_gpt35,0.2,5,54,scissors,paper,3,-1
